"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DP01","DP10","DT00","DT32","DX32","DX90","EMNT","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-02","5.8","6","5","0","0","0","0","40",,"1.56","84","2.90",,"56.5","66.4","46.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-03","6.0","13","9","0","0","0","0","41",,"1.53","77","6.92",,"58.5","65.8","51.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-04","5.8","3","0","0","0","0","0","49",,"0.05","89","0.08",,"62.4","70.5","54.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-05","5.8","4","1","0","0","0","0","50",,"0.42","74","0.53",,"62.8","68.3","57.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-06","6.0","0","0","0","0","0","0","56",,"0.00","81","0.00",,"66.3","72.7","59.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-07","5.6","0","0","0","0","0","12","60",,"0.00","96","0.00",,"75.0","85.0","64.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-08","5.6","3","2","0","0","0","4","64",,"2.27","97","2.66",,"75.7","84.4","67.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-09","5.1","1","0","0","0","0","3","59",,"0.02","95","0.02",,"72.6","79.4","65.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-10","4.5","1","0","0","0","0","5","50",,"0.01","98","0.01",,"71.1","81.2","60.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-11","3.6","2","1","0","0","0","0","48",,"0.52","89","0.53",,"66.0","77.8","54.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2023-12","3.4","6","4","0","0","0","0","47",,"0.50","86","1.72",,"62.0","71.6","52.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-01","4.3","6","4","0","0","0","0","40",,"1.08","83","2.12",,"58.2","66.9","49.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-02","4.7","11","8","0","0","0","0","43",,"3.16","81","11.96",,"58.7","65.5","51.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-03","5.8","9","6","0","0","0","0","48",,"1.86","75","3.92",,"60.5","68.0","53.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-04","5.6","3","3","0","0","0","0","45",,"0.51","84","0.75",,"63.1","71.7","54.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-05","5.8","1","1","0","0","0","0","54",,"0.10","76","0.10",,"65.7","71.5","60.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-06","5.8","0","0","0","0","0","3","61",,"0.00","95","0.00",,"71.6","78.9","64.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-07","5.6","0","0","0","0","0","2","59",,"0.00","91","0.00",,"74.7","83.5","65.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-08","5.4","0","0","0","0","0","6","63",,"0.00","95","0.00",,"75.2","84.6","65.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-09","5.4","0","0","0","0","0","7","59",,"0.00","109","0.00",,"73.5","82.4","64.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-10","4.0","0","0","0","0","0","0","51",,"0.00","88","0.00",,"68.7","78.6","58.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-11","3.6","1","0","0","0","0","0","43",,"0.04","78","0.04",,"61.2","72.5","49.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2024-12","2.9","1","0","0","0","0","0","41",,"0.04","83","0.04",,"58.0","67.7","48.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-01","3.8","3","2","0","0","0","0","40",,"0.46","81","0.60",,"56.3","67.8","44.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-02","4.5","6","5","0","0","0","0","44",,"1.53","88","2.77",,"58.8","67.9","49.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-03","6.3","8","3","0","0","0","0","41",,"0.65","79","1.35",,"58.0","65.7","50.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-04","6.0","1","1","0","0","0","0","47",,"0.22","82","0.22",,"61.4","69.2","53.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-05","6.0","0","0","0","0","0","2","54",,"0.00","95","0.00",,"66.6","74.0","59.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-06","6.0","1","0","0","0","0","0","59",,"0.01","86","0.01",,"69.4","76.9","61.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-07","5.8","0","0","0","0","0","0","61",,"0.00","86","0.00",,"70.9","78.5","63.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-08",,"0","0","0","0","0","9","63",,"0.00","94","0.00",,"75.3","84.2","66.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-09","5.6","1","0","0","0","0","4","64",,"0.03","93","0.03",,"74.7","82.8","66.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-10","4.5","1","1","0","0","0","2","53",,"0.92","94","0.92",,"68.0","77.2","58.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-11","3.6","7","6","0","0","0","0","47",,"1.34","84","3.66",,"62.9","70.9","55.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-12","3.4","5","5","0","0","0","0","44",,"1.57","84","3.59",,"60.5","69.7","51.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2026-01",,"5","5","0","0","0","0","41",,"1.11","86","1.81",,"60.9","72.5","49.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-01",,,,"0","5","0","0","26",,,"68",,,"48.3","53.4","43.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-02",,,,"0","0","0","0","35",,,"71",,,"50.3","57.6","43.0"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-03",,,,"0","5","0","0","28",,,"76",,,"47.9","55.6","40.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-04",,,,"0","0","0","0","37",,,"87",,,"57.9","65.9","49.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-05",,,,"0","0","0","0","38",,,"85",,,"62.0","70.6","53.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-06",,,,"0","0","0","8","44",,,"107",,,"74.4","83.6","65.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-07",,,,"0","0","0","8","60",,,"94",,,"78.1","86.4","69.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-08",,,,"0","0","0","9","52",,,"98",,,"75.6","84.3","66.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-09",,,,"0","0","0","4","50",,,"95",,,"73.0","81.2","64.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-10",,,,"0","0","0","0","39",,,"86",,,"59.5","67.2","51.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-11",,,,"0","0","0","0","45",,,"82",,,"61.9","68.0","55.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-12",,,,"0","4","0","0","29",,,"72",,,"46.7","52.0","41.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-01",,,,"0","1","0","0","31",,,"70",,,"50.8","56.1","45.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-02",,,,"0","4","0","0","27",,,"74",,,"50.5","57.3","43.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-03",,,,"0","2","0","0","31",,,"78",,,"53.9","62.3","45.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-04",,,,"0","1","0","0","31",,,"86",,,"56.3","65.4","47.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-05",,,,"0","0","0","0","36",,,"87",,,"61.6","71.3","52.0"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-06",,,,"0","0","0","4","47",,,"91",,,"72.9","82.1","63.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-07",,,,"0","0","0","6","55",,,"94",,,"76.8","85.0","68.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-08",,,,"0","0","0","10","65",,,"101",,,"79.4","87.5","71.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-09",,,,"0","0","0","12","49",,,"100",,,"74.9","83.5","66.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-10",,,,"0","0","0","0","43",,,"88",,,"66.8","75.0","58.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-11",,,,"0","0","0","0","34",,,"68",,,"49.6","55.3","43.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-12",,,,"0","3","0","0","31",,,"72",,,"46.7","51.6","41.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-01",,,,"0","4","0","0","30",,,"62",,,"42.6","47.8","37.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-02",,,,"0","10","1","0","25",,,"65",,,"42.9","49.4","36.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-03",,,,"0","7","0","0","27",,,"63",,,"42.6","48.7","36.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-04",,,,"0","2","0","0","29",,,"84",,,"57.0","65.8","48.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-05",,,,"0","0","0","0","35",,,"85",,,"56.5","63.4","49.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-06",,,,"0","0","0","1","42",,,"92",,,"58.6","66.4","50.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-07",,,,"0","0","0","11","59",,,"97",,,"78.7","86.0","71.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-08",,,,"0","0","0","6","52",,,"94",,,"74.5","82.2","66.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-09",,,,"0","0","0","0","46",,,"86",,,"65.0","72.0","58.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-10",,,,"0","0","0","0","44",,,"89",,,"65.1","71.8","58.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-11",,,,"0","0","0","0","40",,,"78",,,"55.1","60.9","49.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-12",,,,"0","0","0","0","37",,,"68",,,"51.9","56.9","46.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-01",,,,"0","3","0","0","29",,,"68",,,"47.2","53.1","41.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-02",,,,"0","4","0","0","30",,,"64",,,"44.8","50.6","39.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-03",,,,"0","0","0","0","34",,,"66",,,"47.2","53.8","40.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-04",,,,"0","3","0","0","30",,,"81",,,"53.2","61.8","44.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-05",,,,"0","0","0","0","36",,,"77",,,"58.0","65.7","50.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-06",,,,"0","0","0","2","51",,,"93",,,"70.5","78.4","62.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-07",,,,"0","0","0","16","60",,,"104",,,"81.7","89.2","74.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-08",,,,"0","0","0","10","51",,,"96",,,"76.4","84.9","67.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-09",,,,"0","0","0","13","46",,,"103",,,"74.7","83.0","66.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-10",,,,"0","0","0","7","40",,,"100",,,"70.6","78.3","62.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-11",,,,"0","0","0","0","36",,,"71",,,"51.9","58.4","45.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-12",,,,"0","0","0","0","37",,,"74",,,"55.6","61.5","49.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-01",,,,"0","2","0","0","31",,,"65",,,"47.3","53.3","41.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-02",,,,"0","0","0","0","34",,,"75",,,"52.3","58.8","45.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-03",,,,"0","4","0","0","30",,,"81",,,"48.1","55.3","40.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-04",,,,"0","1","0","0","32",,,"78",,,"53.4","60.8","46.0"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-05",,,,"0","0","0","0","41",,,"87",,,"61.4","69.6","53.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-06",,,,"0","0","0","0","50",,,"89",,,"70.2","78.1","62.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-07",,,,"0","0","0","1","53",,,"90",,,"71.5","79.6","63.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-08",,,,"0","0","0","10","60",,,"96",,,"77.8","85.9","69.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-09",,,,"0","0","0","2","50",,,"92",,,"70.1","77.9","62.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-10",,,,"0","0","0","0","40",,,"82",,,"63.4","71.5","55.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-11",,,,"0","0","0","0","37",,,"83",,,"57.3","62.8","51.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-12",,,,"0","0","0","0","38",,,"75",,,"56.6","61.6","51.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2026-01",,,,"0","0","0","0","35",,,"68",,,"52.6","56.6","48.7"
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-01",,"6","5",,,,,,,"1.87",,"3.08",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-02",,"2","1",,,,,,,"0.18",,"0.23",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-03",,"9","4",,,,,,,"0.56",,"1.89",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-04",,"6","1",,,,,,,"0.13",,"0.28",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-05",,"2","0",,,,,,,"0.07",,"0.10",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-06",,"0","0",,,,,,"0.0","0.00",,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-07",,"2","1",,,,,,"0.0","0.19",,"0.22","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-08",,"1","0",,,,,,"0.0","0.02",,"0.02","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-09",,"2","0",,,,,,"0.0","0.04",,"0.06","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-10",,"7","1",,,,,,,"0.67",,"0.96",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-11",,"0","0",,,,,,"0.0","0.00",,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-12",,"14","9",,,,,,,"3.44",,"8.83",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-01",,"2","1",,,,,,"0.0","0.25",,"0.26","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-02",,"3","1",,,,,,"0.0","0.19",,"0.22","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-03",,"5","3",,,,,,"0.0","1.34",,"1.82","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-04",,"6","2",,,,,,,"0.26",,"0.44",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-05",,"4","1",,,,,,,"0.11",,"0.27",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-06",,"2","0",,,,,,"0.0","0.02",,"0.03","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-07",,"0","0",,,,,,"0.0","0.00",,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-08",,"0","0",,,,,,"0.0","0.00",,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-09",,"4","2",,,,,,"0.0","0.30",,"0.53","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-10",,"6","3",,,,,,,"0.27",,"0.59",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-11",,"6","4",,,,,,,"1.76",,"3.31",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-12",,"9","4",,,,,,,"0.94",,"2.39",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-01",,"14","9",,,,,,,"2.49",,"10.70",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-02",,"9","6",,,,,,,"2.95",,"5.24",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-03",,"17","11",,,,,,,"3.59",,"11.47",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-04",,"6","2",,,,,,,"0.39",,"0.67",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-05",,"8","2",,,,,,,"0.77",,"1.22",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-06",,"8","3",,,,,,,"0.37",,"0.78",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-07",,"0","0",,,,,,"0.0","0.00",,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-08",,"4","2",,,,,,,"4.79",,"4.96",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-09",,"7","2",,,,,,,"0.16",,"0.41",,,,
